Ref,Val,Package,PosX,PosY,Rot,Side
"U15","CD4053BPWRG3","TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL",122.580000,-84.110000,-90.000000,bottom
"U16","TPS563201DDCR","SOT-23-6",178.400000,-112.000000,180.000000,bottom
"C2","0.1uF,50V","C_0603_1608Metric",133.050000,-86.550000,0.000000,top
"C3","0.1uF,50V","C_0603_1608Metric",173.495200,-122.790000,0.000000,top
"C4","0.1uF,50V","C_0603_1608Metric",126.885200,-107.920000,0.000000,top
"C5","0.1uF,50V","C_0603_1608Metric",168.630000,-124.730000,90.000000,top
"C9","10nF,50V","C_0603_1608Metric",111.995200,-120.460000,180.000000,top
"C10","10nF,50V","C_0603_1608Metric",111.995200,-118.860000,180.000000,top
"C11","18pF,50V","C_0603_1608Metric",111.995200,-123.660000,180.000000,top
"C12","18pF,50V","C_0603_1608Metric",111.995200,-114.060000,180.000000,top
"C16","10uF,16V","C_0603_1608Metric",124.445200,-112.755000,-90.000000,top
"C17","0.1uF,50V","C_0603_1608Metric",131.715200,-112.785000,90.000000,top
"C18","10uF,16V","C_0603_1608Metric",133.275200,-112.785000,90.000000,top
"C23","220uF,50V","CAP-SMD_BD10.0-L10.3-W10.3-FD",186.150000,-112.725000,-90.000000,top
"C24","100pF","C_0805_2012Metric",190.450000,-103.350000,90.000000,top
"C25","2.2uF,100V","C_1206_3216Metric",188.275000,-102.750000,90.000000,top
"C26","10uF,16V","C_0603_1608Metric",134.290000,-109.400000,0.000000,top
"C27","2.2uF,100V","C_1206_3216Metric",185.950000,-102.750000,90.000000,top
"C28","22nF,50V","C_0603_1608Metric",176.100000,-99.325000,90.000000,top
"C29","0.1uF,50V","C_0603_1608Metric",179.525000,-107.600000,0.000000,top
"C30","47uF,16V,X7R","C_1210_3225Metric",164.287222,-115.550000,-90.000000,top
"C31","0.1uF,50V","C_0603_1608Metric",130.215000,-106.450000,0.000000,top
"C32","10nF,50V","C_0603_1608Metric",134.785200,-112.785000,90.000000,top
"C33","47uF,16V,X7R","C_1210_3225Metric",167.556112,-115.550000,-90.000000,top
"C34","0.1uF,50V","C_0603_1608Metric",156.990000,-103.420000,0.000000,top
"C35","47uF,16V,X7R","C_1210_3225Metric",170.825000,-115.550000,-90.000000,top
"C37","22uF,10V","C_0603_1608Metric",155.100000,-100.690000,90.000000,top
"C39","22uF,10V","C_0603_1608Metric",156.600000,-100.675000,90.000000,top
"C41","12pF,50V","C_0603_1608Metric",131.520000,-118.470000,-90.000000,top
"C42","12pF,50V","C_0603_1608Metric",133.600000,-121.500000,180.000000,top
"C52","47uF,16V,X7R","C_1210_3225Metric",174.093888,-115.550000,-90.000000,top
"C56","0.1uF,50V","C_0603_1608Metric",147.695200,-100.700000,90.000000,top
"C58","0.1uF,50V","C_0603_1608Metric",149.175200,-100.700000,90.000000,top
"C64","1uF,25V","C_0603_1608Metric",126.225000,-91.050000,-90.000000,top
"C71","22uF,16V","C_0805_2012Metric",133.150000,-88.325000,0.000000,top
"C76","10nF,50V","C_0603_1608Metric",129.710200,-104.200000,90.000000,top
"C77","10nF,50V","C_0603_1608Metric",128.160200,-101.200000,-90.000000,top
"C78","220uF,35V","CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD",162.000000,-107.650000,-90.000000,top
"C88","10uF,16V","C_0603_1608Metric",125.525000,-94.100000,90.000000,top
"D2"," 1N5819HW-7-F","D_SOD-123",183.027700,-124.220000,0.000000,top
"D3","BAT54A-7-F","SOT-23",164.703800,-124.522450,-90.000000,top
"D9","SS1045","D_SMA",172.825000,-103.475000,90.000000,top
"D10","SS1045","D_SMA",178.325000,-114.175000,90.000000,top
"D11","1N4002","D_SMA",132.325000,-93.025000,-90.000000,top
"D12","1N4002","D_SMA",128.650000,-93.050000,-90.000000,top
"J1","USB_Type-C","TYPE-C-16P",187.845200,-128.988950,0.000000,top
"J2","2.54-2*10P简牛","IDC-Header_2x10_P2.54mm",134.620000,-130.650000,90.000000,top
"J3","Conn_01x10","CONN-TH_10P-P3.81_KF2EDGR-3.81-10P",195.265200,-106.210000,90.000000,top
"J4","Conn_01x06","CONN-TH_6P-P3.81_KF2EDGR-3.81-6P",115.095200,-100.000000,-90.000000,top
"J5","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",179.245000,-86.700000,90.000000,top
