Ref,Val,Package,PosX,PosY,Rot,Side
"C67","22uF,6.3V","C_0603",58.840000,16.485000,0.000000,bottom
"C70","0.1uF,16V","C_0402",52.820000,41.685000,90.000000,bottom
"C71","0.1uF,16V","C_0402",63.070000,42.195000,90.000000,bottom
"C76","0.1uF,16V","C_0402",62.050000,32.375000,180.000000,bottom
"C79","0.1uF,16V","C_0402",39.030000,35.113000,90.000000,bottom
"C85","22uF,6.3V","C_0603",27.315000,21.893000,-90.000000,bottom
"C88","10nF,16V","C_0402",20.240000,29.082000,-90.000000,bottom
"C89","22uF,6.3V","C_0603",17.380000,31.490000,90.000000,bottom
"C90","22uF,6.3V","C_0603",28.665000,21.893000,-90.000000,bottom
"C93","0.1uF,16V","C_0402",31.900000,38.780000,180.000000,bottom
"C94","4.7uF,10V","C_0402",35.360000,40.410000,180.000000,bottom
"C95","0.1uF,16V","C_0402",4.270000,72.255000,0.000000,bottom
"C96","0.1uF,16V","C_0402",5.550000,66.245000,0.000000,bottom
"C97","0.1uF,16V","C_0402",2.610000,66.465000,180.000000,bottom
"C98","10uF,10V","C_0402",5.540000,67.075000,0.000000,bottom
"C99","0.1uF,16V","C_0402",1.780000,69.015000,-90.000000,bottom
"C101","0.1uF,16V","C_0402",37.080000,45.205000,90.000000,bottom
"C102","0.1uF,16V","C_0402",40.120000,45.215000,90.000000,bottom
"C103","0.1uF,16V","C_0402",41.100000,45.195000,90.000000,bottom
"C104","1uF,16V","C_0402",17.940000,29.082000,-90.000000,bottom
"C107","0.1uF,16V","C_0402",67.370000,4.315000,180.000000,bottom
"C108","0.1uF,16V","C_0402",53.120000,13.505000,0.000000,bottom
"C109","0.1uF,16V","C_0402",62.080000,2.955000,180.000000,bottom
"C110","22uF,10V","C_0603",28.990000,27.528000,-90.000000,bottom
"C112","0.1uF,16V","C_0402",29.915000,22.155000,-90.000000,bottom
"C113","0.1uF,16V","C_0402",30.915000,22.155000,-90.000000,bottom
"C114","0.1uF,16V","C_0402",2.600000,65.625000,180.000000,bottom
"C115","0.1uF,16V","C_0402",7.020000,68.135000,0.000000,bottom
"C116","10uF,10V","C_0402",1.760000,70.895000,90.000000,bottom
"C117","22uF,6.3V","C_0603",18.790000,31.490000,90.000000,bottom
"C125","4.7uF,10V","C_0402",34.591900,12.369701,-90.000000,bottom
"C126","4.7uF,10V","C_0402",30.650000,14.198000,90.000000,bottom
"C132","10uF,10V","C_0402",44.592000,45.450000,180.000000,bottom
"C134","4.7uF,10V","C_0402",27.882000,38.015000,180.000000,bottom
"C138","10uF,10V","C_0402",41.020000,29.550000,180.000000,bottom
"C140","2.2nF,50V","C_0402",22.556000,32.940000,180.000000,bottom
"C145","0.1uF,16V","C_0402",35.870000,41.280000,180.000000,bottom
"J2","板对板连接器100P_0.8mm_公头"," 板对板连接器100P_0.8mm_公头",0.075106,61.902488,-90.000000,bottom
"J3","板对板连接器100P_0.8mm_公头"," 板对板连接器100P_0.8mm_公头",11.050012,72.125106,0.000000,bottom
"J4","板对板连接器100P_0.8mm_公头"," 板对板连接器100P_0.8mm_公头",11.050012,2.275106,0.000000,bottom
"L2","4.7uH_1.4A","L252010",28.640000,24.590000,180.000000,bottom
"L3","4.7uH_1.6A","L_1210_3225Metric",23.640000,30.990000,180.000000,bottom
"L4","4.7uH_1.4A","L252010",57.369900,14.073703,180.000000,bottom
"R6","1K","R_0402_1005Metric",53.120000,12.415000,180.000000,bottom
"R7","10Ω","R_0402_1005Metric",24.448000,32.940000,0.000000,bottom
"R9","1M","R_0402_1005Metric",25.740000,43.735000,0.000000,bottom
"R10","100Ω","R_0402",60.270000,35.705000,180.000000,bottom
"R16","10K","R_0402",85.270000,29.931000,180.000000,bottom
"R24","10K","R_0402",85.270000,32.431000,0.000000,bottom
"R25","10K","R_0402",85.270000,27.397667,180.000000,bottom
"R26","0Ω_0402","R_0402",84.970000,23.631000,0.000000,bottom
"R28","10K","R_0402_1005Metric",32.100000,69.600000,-90.000000,bottom
"R57","10K","R_0402_1005Metric",35.471900,12.369701,-90.000000,bottom
"R67","10K","R_0402_1005Metric",61.077900,12.180703,0.000000,bottom
"R69","1K","R_0402_1005Metric",67.380000,3.425000,0.000000,bottom
"R70","1K","R_0402_1005Metric",62.110000,3.825000,0.000000,bottom
"R73","20K","R_0402_1005Metric",64.419900,12.822703,-90.000000,bottom
"R74","10K","R_0402_1005Metric",66.690000,12.835004,90.000000,bottom
"R77","0Ω_0805","R_0805_2012Metric",15.590000,31.740000,-90.000000,bottom
"R79","0Ω_0603","R_0603_1608Metric",76.540000,23.100800,90.000000,bottom
"R83","0Ω_0402","R_0402_1005Metric",19.420000,50.435000,-90.000000,bottom
"R84","0Ω_0402","R_0402_1005Metric",18.530000,50.475000,-90.000000,bottom
"R85","0Ω_0402","R_0402_1005Metric",26.720000,47.825000,180.000000,bottom
"R86","0Ω_0402","R_0402_1005Metric",24.810000,47.835000,0.000000,bottom
"R90","0Ω_0603","R_0603_1608Metric",75.177500,23.100800,90.000000,bottom
"R91","0Ω_0603","R_0603_1608Metric",73.815000,23.100800,90.000000,bottom
"R92","0Ω_0603","R_0603_1608Metric",72.452500,23.100800,90.000000,bottom
"R93","0Ω_0603","R_0603_1608Metric",71.090000,23.100800,90.000000,bottom
"U3","SM8082AAAC","SOT-23-5",61.693000,14.235002,0.000000,bottom
"U5","LP5907MFX-3.3/NOPB","SOT-23-5",32.171900,11.809701,180.000000,bottom
"X2","32.768kHz,12.5pF","3215",34.850000,27.025000,0.000000,bottom
"X3","24MHz ±10ppm 1.8V~3.3V","OSC-3225",25.040000,45.849000,0.000000,bottom
"C3","4.7uF,10V","C_0402",66.780000,78.720000,90.000000,top
"C14","22uF,10V","C_0603",72.996000,8.250000,180.000000,top
